product_id,product_name,category,sub_category,unit_cost,unit_price
1,Amoxicillin 20s Pack,Pharmaceuticals,Antibiotics,714.62,1357.0
2,Amoxicillin 250mg,Pharmaceuticals,Antibiotics,429.26,790.37
3,Ciprofloxacin 250mg,Pharmaceuticals,Antibiotics,439.85,808.95
4,Ciprofloxacin 10ml Suspension,Pharmaceuticals,Antibiotics,511.61,939.07
5,Azithromycin 500mg,Pharmaceuticals,Antibiotics,385.42,775.48
6,Azithromycin 10ml Suspension,Pharmaceuticals,Antibiotics,274.8,460.61
7,Doxycycline 250mg,Pharmaceuticals,Antibiotics,607.95,1060.16
8,Doxycycline 10ml Suspension,Pharmaceuticals,Antibiotics,49.76,77.33
9,Metronidazole 10ml Suspension,Pharmaceuticals,Antibiotics,162.51,311.66
10,Metronidazole 250mg,Pharmaceuticals,Antibiotics,292.32,549.03
11,Paracetamol 500mg,Pharmaceuticals,Analgesics,866.85,1772.84
12,Paracetamol 20s Pack,Pharmaceuticals,Analgesics,873.18,1717.76
13,Ibuprofen 500mg,Pharmaceuticals,Analgesics,815.26,1445.84
14,Ibuprofen 20s Pack,Pharmaceuticals,Analgesics,533.92,857.51
15,Diclofenac 250mg,Pharmaceuticals,Analgesics,405.92,761.66
16,Diclofenac 20s Pack,Pharmaceuticals,Analgesics,103.47,181.02
17,Aspirin 250mg,Pharmaceuticals,Analgesics,119.96,222.24
18,Aspirin 500mg,Pharmaceuticals,Analgesics,535.52,914.73
19,Artemether-Lumefantrine 20mg/120mg,Pharmaceuticals,Antimalarials,449.6,885.55
20,Artemether-Lumefantrine 24s Pack,Pharmaceuticals,Antimalarials,456.92,942.49
21,Quinine Sulphate 6s Pack,Pharmaceuticals,Antimalarials,482.98,851.66
22,Quinine Sulphate 80mg/480mg,Pharmaceuticals,Antimalarials,809.66,1282.62
23,Sulfadoxine-Pyrimethamine 20mg/120mg,Pharmaceuticals,Antimalarials,274.67,520.68
24,Sulfadoxine-Pyrimethamine 6s Pack,Pharmaceuticals,Antimalarials,123.73,253.6
25,Amlodipine 5mg,Pharmaceuticals,Cardiovascular,751.92,1492.52
26,Amlodipine 20mg,Pharmaceuticals,Cardiovascular,283.1,512.14
27,Atenolol 5mg,Pharmaceuticals,Cardiovascular,69.07,121.64
28,Atenolol 10mg,Pharmaceuticals,Cardiovascular,681.29,1386.07
29,Losartan 30s Pack,Pharmaceuticals,Cardiovascular,605.65,1044.26
30,Losartan 10mg,Pharmaceuticals,Cardiovascular,258.34,532.72
31,Simvastatin 20mg,Pharmaceuticals,Cardiovascular,163.36,262.61
32,Simvastatin 5mg,Pharmaceuticals,Cardiovascular,200.9,338.76
33,Metformin 10ml Vial,Pharmaceuticals,Diabetes Care,42.12,68.98
34,Metformin 850mg,Pharmaceuticals,Diabetes Care,135.99,245.3
35,Glibenclamide 850mg,Pharmaceuticals,Diabetes Care,729.59,1407.56
36,Glibenclamide 500mg,Pharmaceuticals,Diabetes Care,137.67,283.12
37,Insulin Glargine 500mg,Pharmaceuticals,Diabetes Care,861.39,1440.13
38,Insulin Glargine 850mg,Pharmaceuticals,Diabetes Care,513.02,964.68
39,Salbutamol Inhaler 30s Pack,Pharmaceuticals,Respiratory,870.62,1617.29
40,Salbutamol Inhaler 10mg,Pharmaceuticals,Respiratory,436.62,860.52
41,Cetirizine 30s Pack,Pharmaceuticals,Respiratory,232.4,422.61
42,Cetirizine 100mcg Inhaler,Pharmaceuticals,Respiratory,554.7,969.36
43,Loratadine 10mg,Pharmaceuticals,Respiratory,784.72,1390.79
44,Loratadine 100mcg Inhaler,Pharmaceuticals,Respiratory,679.03,1351.23
45,Multivitamin Syrup 5mg,Consumer Health,Vitamins & Supplements,501.81,738.63
46,Multivitamin Syrup 500mg,Consumer Health,Vitamins & Supplements,132.7,195.97
47,Vitamin C Tablets 5mg,Consumer Health,Vitamins & Supplements,71.02,101.32
48,Vitamin C Tablets 250mg,Consumer Health,Vitamins & Supplements,421.2,656.65
49,Iron & Folic Acid 5mg,Consumer Health,Vitamins & Supplements,64.35,97.71
50,Iron & Folic Acid 50s Pack,Consumer Health,Vitamins & Supplements,359.89,512.71
51,Zinc Tablets 20s Pack,Consumer Health,Vitamins & Supplements,96.94,138.23
52,Zinc Tablets 50s Pack,Consumer Health,Vitamins & Supplements,95.5,176.8
